protocol,epoch,loss,label_loss,domain_loss,grl_lambda,threshold,val_f1,val_roc_auc,val_pr_auc,val_mcc,val_domain_accuracy,learning_rate
DANN_Pooled_to_UNSW,4,0.21878099609767238,0.06913732148466571,0.7482183489107317,0.5827829453479101,0.29,0.974063242048903,0.9929006160601399,0.9973733489956094,0.9004671390375326,0.5445847684653655,0.001
DANN_Pooled_to_UNSW,5,0.21178453824212473,0.06610821535991084,0.728381598188031,0.6822617902381698,0.15999999999999998,0.9750518800223061,0.9933407779824923,0.9975129384861925,0.9043700040215682,0.3036602700781805,0.001
DANN_Pooled_to_UNSW,6,0.20695936151089206,0.06439051554808693,0.7128442189385814,0.7615941559557646,0.22999999999999998,0.9761242636027663,0.9940715892993448,0.9977962435613394,0.9086039353662996,0.5652506697282816,0.001
DANN_Pooled_to_UNSW,7,0.2048481839799112,0.06259047077788461,0.7112885540531527,0.8232006455858834,0.08499999999999999,0.975919139486214,0.9941694975458794,0.9978148258757114,0.9078258991184102,0.3014734022196709,0.001
DANN_Pooled_to_UNSW,8,0.20257898227822396,0.06144453867548896,0.7056721996876502,0.870061661742672,0.20499999999999996,0.9757361084415643,0.9941592306831342,0.9978009240707642,0.90705488136861,0.4793204308129681,0.001
DANN_Pooled_to_UNSW,9,0.19682658343545853,0.05898788769639308,0.689193461210497,0.9051482536448667,0.285,0.9770605102565988,0.9946833296720585,0.9980098431184915,0.9122837810019111,0.4793204308129681,0.001
DANN_Pooled_to_UNSW,10,0.19834027559526504,0.0586364092004876,0.6985193154504222,0.9311096086675774,0.295,0.9772792003160515,0.9947400295321501,0.9980127971770817,0.9131300336560028,0.4793340987370838,0.001
DANN_Pooled_to_UNSW,11,0.2038383462256001,0.05942966590725606,0.7220433758151147,0.9501511467057719,0.29,0.9765185008530388,0.9942427149469203,0.9978428419413498,0.9101269133110885,0.49136187195888686,0.001
DANN_Pooled_to_UNSW,12,0.21352164687648897,0.06158762911875402,0.7596700749089641,0.9640275800758169,0.13999999999999999,0.9755811932187263,0.9942378450553395,0.9978671816235696,0.9064495696019682,0.4922092832540594,0.001
DANN_Pooled_to_UNSW,13,0.19821571919225878,0.059960606057317026,0.6912755523958514,0.9740925449386082,0.29,0.977054482967755,0.9947558452525882,0.998027232773115,0.9122564284797118,0.7759553878956864,0.001
DANN_Pooled_to_UNSW,14,0.20102324841483946,0.05934465868819144,0.7083929344531028,0.9813680813098666,0.29,0.9770640093398664,0.9948328445805775,0.9980771965193538,0.9123049902074285,0.4793204308129681,0.0005
DANN_Pooled_to_UNSW,15,0.195424796833146,0.05704168428576762,0.6919155457327443,0.9866142981514305,0.24999999999999994,0.9772733538574645,0.9948736034971681,0.9980868970021359,0.9131131722982289,0.46403969165163195,0.0005
DANN_Pooled_to_UNSW,16,0.1935748594903177,0.055890672629879366,0.688420920602737,0.9903904942256809,0.25499999999999995,0.9771324663874807,0.9950714592692401,0.9981548105656451,0.912548274335906,0.4793204308129681,0.0005
DANN_Pooled_to_ToN,1,0.30994536487325547,0.12587680018717243,0.9203428058854995,0.16514041292462944,0.13999999999999999,0.9703733469715788,0.9878192398670983,0.9954510406633346,0.8857739658770075,0.35752555901809635,0.001
DANN_Pooled_to_ToN,2,0.2969119284422167,0.0828797465130206,1.0701608994314749,0.32151273753163445,0.27499999999999997,0.9716334164588528,0.9908864764204001,0.9965851171500868,0.890909158584482,0.08374337105680389,0.001
DANN_Pooled_to_ToN,3,0.23063149158993074,0.07440174575294217,0.7811487134425871,0.4621171572600098,0.16499999999999998,0.9731743939061013,0.9916648025094983,0.9969108359252434,0.8969294484927338,0.5739161336176262,0.001
DANN_Pooled_to_ToN,4,0.21534578790587763,0.06865989284649972,0.7334294617176056,0.5827829453479101,0.25999999999999995,0.9756259143732575,0.9935113322700857,0.9975895309651913,0.9067456556744827,0.6208244491826581,0.001
DANN_Pooled_to_ToN,5,0.20598048740817654,0.06463169805224865,0.7067439325394169,0.6822617902381698,0.285,0.9747874496712005,0.9936878820284248,0.9976519834767762,0.9033244629763616,0.3148406320048111,0.001
DANN_Pooled_to_ToN,6,0.2057297638347072,0.0630873891134416,0.7132118565420951,0.7615941559557646,0.095,0.9752390694785682,0.9940328896593564,0.9977713306955441,0.9051463247292512,0.4793340987370838,0.001
DANN_Pooled_to_ToN,7,0.2025542997064129,0.06175694650700016,0.7039867514564145,0.8232006455858834,0.3,0.976697956929873,0.9944456962941653,0.9979358734006554,0.9109264706607518,0.4793204308129681,0.001
DANN_Pooled_to_ToN,8,0.19950054129285197,0.059953888277373,0.6977332532405853,0.870061661742672,0.285,0.9767019334000129,0.9947278405191984,0.998028666948818,0.9108501471693881,0.47959378929528185,0.001
DANN_Pooled_to_ToN,9,0.2045661384059537,0.060648913885797226,0.7195861060773173,0.9051482536448667,0.11499999999999999,0.9761034117087798,0.9939733553776204,0.9977461263557635,0.908544446374436,0.15057951998250504,0.001
DANN_Pooled_to_ToN,10,0.21891519595538417,0.0639034558928782,0.7750586867332458,0.9311096086675774,0.18,0.9754972825589694,0.9938208336871956,0.9976698961240068,0.9061160485672818,0.27227871630856704,0.001
DANN_Pooled_to_ToN,11,0.2084803360123788,0.061323143902324864,0.7357859467306445,0.9501511467057719,0.22499999999999998,0.9763279498558814,0.9943654397381446,0.9978560022186176,0.90940214468809,0.23702914001421463,0.0005
DANN_Pooled_to_ToN,12,0.19702114333068171,0.058276034110496124,0.6937255359465077,0.9640275800758169,0.26499999999999996,0.9770664118490205,0.9948108015124676,0.9980448408239784,0.9122999564522676,0.4793204308129681,0.0005
DANN_Pooled_to_ToN,13,0.2042241142161431,0.05827494506393709,0.7297458398726678,0.9740925449386082,0.24999999999999994,0.9771090534979424,0.9948224248790372,0.9980455258429994,0.9124608169319306,0.4793204308129681,0.0005
DANN_Pooled_to_ToN,14,0.19639842067995378,0.05711902930371223,0.6963969440229477,0.9813680813098666,0.29,0.9776709097750571,0.9949244226346434,0.9980992104637227,0.9146516453695499,0.28157290470723306,0.0005
DANN_Pooled_to_ToN,15,0.19363018798251305,0.05621113495961312,0.6870952508141918,0.9866142981514305,0.26499999999999996,0.9768551790222418,0.9948460458529641,0.9980734127616081,0.9116062346189056,0.45622163905745994,0.0005
DANN_Pooled_to_ToN,16,0.19779040736536826,0.05641557216163604,0.7068741533064073,0.9903904942256809,0.27999999999999997,0.9775628626692456,0.9951526699964308,0.9981950321325974,0.9143295957810416,0.6797332021212619,0.0005
DANN_Pooled_to_ToN,17,0.19634765674990992,0.0559502764935455,0.7019868896853539,0.9931050973968727,0.245,0.977584574805393,0.9951679667315517,0.9981980821380969,0.9143297673994784,0.4793204308129681,0.0005
DANN_Pooled_to_ToN,18,0.19210234452639857,0.05501122352096342,0.6854555904865265,0.9950547536867307,0.26999999999999996,0.9777037534622215,0.995133538483563,0.9981837358591257,0.9148325916815624,0.4793204308129681,0.00025
DANN_Pooled_to_ToN,19,0.19153207852955786,0.05436863756227878,0.6858171916777088,0.9964540908104156,0.26999999999999996,0.9779549157316298,0.9954152894224751,0.9982895690396271,0.9158208064388024,0.6584249084249084,0.00025
DANN_Pooled_to_ToN,20,0.1953451650277261,0.05412586297719709,0.7060965030424057,0.9974579674738373,0.25999999999999995,0.9779982664183096,0.9953559189306007,0.9982737495949311,0.9160838328379243,0.4793204308129681,0.00025
DANN_Pooled_to_ToN,21,0.1903277368795487,0.05369106103335657,0.68318336625253,0.9981778976111988,0.24,0.9777863627583543,0.9953356808839009,0.9982659583480122,0.9151396959058256,0.4793340987370838,0.00025
DANN_Pooled_to_ToN,22,0.1925368854595769,0.053913910422594316,0.6931148613652875,0.9986940693248945,0.31499999999999995,0.9781460001841112,0.9954244326105889,0.9982911703150827,0.9165673490677246,0.4800311628669838,0.00025
DANN_Pooled_to_ToN,23,0.19199240688354738,0.05315854376362216,0.694169299256417,0.9990640865487344,0.245,0.9779845873719446,0.9953630561690439,0.9982662925308001,0.9159052055542641,0.4391640697610847,0.00025
DANN_Pooled_to_ToN,24,0.1938359352850145,0.05383767133518573,0.6999913002214124,0.9993292997390673,0.245,0.978074812233979,0.9953352999772462,0.9982407851206487,0.916249022409067,0.47688754032037617,0.00025
DANN_Pooled_to_ToN,25,0.190566984395827,0.05332135745594578,0.6862281224419994,0.9995193765743622,0.22999999999999998,0.9780272359219727,0.9954878888024687,0.9983193488263576,0.9160886220761226,0.4714340385982177,0.00025
DANN_Pooled_to_ToN,26,0.19322699524702563,0.0531986998093705,0.7001414702784631,0.9996555948057622,0.21499999999999997,0.9780062419680559,0.9954826918072983,0.9983138359569929,0.915966190465595,0.47210376687988626,0.000125
DANN_Pooled_to_ToN,27,0.1895503964154951,0.05266933611804439,0.6844052883886522,0.9997532108480274,0.25499999999999995,0.9780207663328127,0.9955157925955953,0.9983184885623636,0.9160298918158768,0.4794434421300093,0.000125
DANN_Pooled_to_ToN,28,0.19295251754022413,0.05235168397907288,0.7030041506213527,0.9998231616599622,0.22999999999999998,0.9780229885057471,0.9955631359598464,0.9983468310570103,0.9160529865054565,0.4794024383576622,0.000125
